,country,trend
0,South Sudan,-10.472000000000001
1,Honduras,-1.4078210230924795
2,North Korea,-1.167918888225969
3,Zimbabwe,-0.9312097227363302
4,Cambodia,-0.8832428947030079
5,Timor,-0.8354491567761025
6,United States Virgin Islands,-0.7794232315793785
7,Indonesia,-0.7058002632679815
8,Myanmar,-0.6680376238982622
9,Paraguay,-0.6403100900281083
10,Uganda,-0.5856348648979948
11,Benin,-0.5827846314107954
12,Nicaragua,-0.5464677880947192
13,Cameroon,-0.5166914780224263
14,Guatemala,-0.5076036651918451
15,Nigeria,-0.4989046045601271
16,Tanzania,-0.4958173531132019
17,Belize,-0.4909611081347591
18,Equatorial Guinea,-0.4622764530311164
19,Togo,-0.4054560840964572
20,Northern Mariana Islands,-0.3968909461842581
21,Dominica,-0.3951387301736632
22,Guinea-Bissau,-0.3848199691704213
23,Nepal,-0.3742660401138703
24,Ecuador,-0.3726872623789103
25,Malawi,-0.3611978492077205
26,Liberia,-0.3455219267438837
27,Bolivia,-0.3334520068846257
28,Mozambique,-0.30789822769100916
29,Brunei,-0.29450256071580905
30,Comoros,-0.2919993277027741
31,Brazil,-0.2913152653140373
32,Venezuela,-0.27050907095718574
33,Panama,-0.2530347799432152
34,Colombia,-0.2504464133803142
35,Zambia,-0.2491008305099598
36,Senegal,-0.2486575078261363
37,Burkina Faso,-0.24327782634856288
38,El Salvador,-0.2400965074832554
39,Botswana,-0.22718219833549466
40,Solomon Islands,-0.22050891188930488
41,American Samoa,-0.18743640289278066
42,Guinea,-0.1625863187356617
43,Sub-Saharan Africa,-0.16018487977941176
44,Sri Lanka,-0.15438812251567519
45,Democratic Republic of Congo,-0.15270103318843567
46,Somalia,-0.13593036068298794
47,Peru,-0.1358352693025402
48,Argentina,-0.12492526460688509
49,Portugal,-0.12433428167028744
50,Sao Tome and Principe,-0.12172725062901067
51,Ethiopia,-0.112775798148262
52,Angola,-0.11102322165772045
53,Saint Lucia,-0.1092524356889372
54,Sudan,-0.10386018053201873
55,Namibia,-0.0995099810505348
56,Madagascar,-0.09531894005865638
57,Mexico,-0.0865648889064505
58,South Korea,-0.08436604610033413
59,Mali,-0.07189456665748664
60,Mauritius,-0.06696193940210557
61,Chad,-0.06660236342145723
62,Pakistan,-0.06077606410020052
63,Kyrgyzstan,-0.05365119904946524
64,Antigua and Barbuda,-0.05322130960972591
65,Congo,-0.05097375202643712
66,Eritrea,-0.04880182036403744
67,World,-0.04439013445197198
68,Trinidad and Tobago,-0.04202604125698533
69,Jamaica,-0.03855626347520056
70,Haiti,-0.030733406800467905
71,Guyana,-0.029311596904779177
72,Niger,-0.028362559936697864
73,Central African Republic,-0.027584553136864975
74,Suriname,-0.027152457041243475
75,Australia,-0.026685888518181846
76,British Virgin Islands,-0.026210711677740684
77,Albania,-0.02462516849318178
78,Bangladesh,-0.02220784429458556
79,Bosnia and Herzegovina,-0.021399167816577438
80,Malaysia,-0.020966307248395728
81,Kenya,-0.018273402817179176
82,Mauritania,-0.008321090359024065
83,Papua New Guinea,-0.006662557572426504
84,Canada,-0.005880614082219191
85,Armenia,-0.005505128857085583
86,Norway,-0.002229045041878205
87,Kazakhstan,-0.0018784411356617661
88,Sweden,-0.00011186256607620344
89,Middle income,0.0
90,Middle East & North Africa (IDA & IBRD),0.0
91,Low income,0.0
92,Middle East & North Africa,0.0
93,Lower middle income,0.0
94,Marshall Islands,0.0
95,Maldives,0.0
96,Malta,0.0
97,Low & middle income,0.0
98,Libya,0.0
99,Middle East & North Africa (excluding high income),0.0
100,Yemen,0.0
101,South Asia (IDA & IBRD),0.0
102,New Caledonia,0.0
103,South Asia,0.0
104,South Africa,0.0
105,Turkmenistan,0.0
106,Sub-Saharan Africa (IDA & IBRD),0.0
107,Turks and Caicos Islands,0.0
108,Small states,0.0
109,Singapore,0.0
110,Seychelles,0.0
111,Sub-Saharan Africa (excluding high income),0.0
112,Saudi Arabia,0.0
113,Tuvalu,0.0
114,San Marino,0.0
115,Saint Martin (French part),0.0
116,Saint Kitts and Nevis,0.0
117,Qatar,0.0
118,Pre-demographic dividend,0.0
119,Post-demographic dividend,0.0
120,Syrian Arab Republic,0.0
121,Pacific island small states,0.0
122,Other small states,0.0
123,Oman,0.0
124,OECD members,0.0
125,Vanuatu,0.0
126,North America,0.0
127,Tonga,0.0
128,Nauru,0.0
129,Upper middle income,0.0
130,Afghanistan,0.0
131,Least developed countries: UN classification,0.0
132,IDA total,0.0
133,IDA only,0.0
134,IDA blend,0.0
135,IDA & IBRD total,0.0
136,IBRD only,0.0
137,Djibouti,0.0
138,Early-demographic dividend,0.0
139,East Asia & Pacific,0.0
140,High income,0.0
141,Heavily indebted poor countries (HIPC),0.0
142,Guam,0.0
143,Grenada,0.0
144,Greenland,0.0
145,East Asia & Pacific (IDA & IBRD),0.0
146,Gibraltar,0.0
147,East Asia & Pacific (excluding high income),0.0
148,Euro area,0.0
149,Europe & Central Asia,0.0
150,Europe & Central Asia (IDA & IBRD),0.0
151,Europe & Central Asia (excluding high income),0.0
152,Fragile and conflict affected situations,0.0
153,European Union,0.0
154,Central Europe and the Baltics,0.0
155,Channel Islands,0.0
156,Bahamas,0.0
157,Andorra,0.0
158,Arab World,0.0
159,Latin America & Caribbean (excluding high income),0.0
160,Latin America & Caribbean (IDA & IBRD),0.0
161,Latin America & Caribbean,0.0
162,Aruba,0.0
163,Late-demographic dividend,0.0
164,Cayman Islands,0.0
165,Kiribati,0.0
166,Jordan,0.0
167,Faeroe Islands,0.0
168,Barbados,0.0
169,Caribbean small states,0.0
170,Isle of Man,0.0
171,Bermuda,0.0
172,Palestine,0.0004733370892713901
173,Egypt,0.001386388953342246
174,Tajikistan,0.0015299716950534776
175,Iraq,0.002333692166644381
176,Japan,0.0024395207399061742
177,Burundi,0.003850628352640375
178,Mongolia,0.005818003986363636
179,Algeria,0.006266755495688506
180,Kuwait,0.0075141808142045454
181,Belgium,0.012119233179846223
182,Lesotho,0.012453632453776738
183,Iceland,0.01476326845053476
184,Luxembourg,0.014938656572058713
185,Germany,0.01608874353188513
186,Russia,0.017581396423796938
187,Uzbekistan,0.01803886591260026
188,Slovakia,0.01837535872082224
189,Czech Republic,0.022354299532687263
190,Bahrain,0.02265703596841577
191,Estonia,0.026208886497660493
192,Cote d'Ivoire,0.02662760672065511
193,Ukraine,0.028147467269117602
194,Lebanon,0.030282940169953206
195,United States,0.04024306372867659
196,United Arab Emirates,0.04094882355053475
197,Netherlands,0.04183629819378342
198,Micronesia (country),0.043478743625033595
199,Iran,0.04362640446557486
200,Finland,0.043925817103308645
201,Sierra Leone,0.044931162586764724
202,Georgia,0.04916786783606284
203,Austria,0.0499813746775734
204,Cyprus,0.05629848285511365
205,Croatia,0.060164096435862256
206,Israel,0.06360116916798131
207,United Kingdom,0.06627132838275399
208,Denmark,0.0673324943805481
209,Morocco,0.07672841749776071
210,Poland,0.08147857387239307
211,New Zealand,0.08253103151263368
212,Romania,0.10424033959034096
213,India,0.10532356129592242
214,Liechtenstein,0.10919323858479273
215,Switzerland,0.11476319225334218
216,Tunisia,0.11546115396694516
217,Turkey,0.12146462389338235
218,Moldova,0.1302397387899398
219,Slovenia,0.1349833959383355
220,Hungary,0.13548836149455212
221,Ghana,0.13867061272904424
222,Latvia,0.1398608519773063
223,Chile,0.14379414444047453
224,Fiji,0.1486990771608958
225,Macedonia,0.15920834602246
226,Azerbaijan,0.1709267923767045
227,Lithuania,0.17839910643201864
228,Belarus,0.18448442616363633
229,Ireland,0.1893508031453208
230,Thailand,0.19292933759588898
231,Gambia,0.20600376004314833
232,France,0.206691401275167
233,Bulgaria,0.21531323776834904
234,Palau,0.21617740908910432
235,Serbia,0.21868290416968586
236,Costa Rica,0.22732630668265386
237,Saint Vincent and the Grenadines,0.2384383634544789
238,China,0.2466448103294786
239,Greece,0.26020124662840904
240,Italy,0.26068253065116975
241,Uruguay,0.26938320525357623
242,Bhutan,0.2890920272263367
243,Swaziland,0.2940657456437165
244,Laos,0.3078613576328542
245,Rwanda,0.30973262737877677
246,Cape Verde,0.3469361517323529
247,Philippines,0.38511808331604286
248,Spain,0.4169153180873329
249,Cuba,0.4737439091649733
250,Samoa,0.6324606350042449
251,Gabon,0.6380213425460561
252,Montenegro,0.7279410813394049
253,Vietnam,0.7944060864446192
254,Dominican Republic,0.806793354190107
255,Puerto Rico,1.075693094230782
256,French Polynesia,1.2838154139087232
