,country,trend
0,Honduras,-1.4078210231
1,North Korea,-1.1679188882
2,Zimbabwe,-0.9312097227
3,Cambodia,-0.8832428947
4,Timor,-0.8354491568
5,United States Virgin Islands,-0.7794232316
6,Indonesia,-0.7058002633
7,Myanmar,-0.6680376239
8,Paraguay,-0.64031009
9,Uganda,-0.5856348649
10,Benin,-0.5827846314
11,Nicaragua,-0.5464677881
12,Cameroon,-0.516691478
13,Guatemala,-0.5076036652
14,Nigeria,-0.4989046046
15,Tanzania,-0.4958173531
16,Belize,-0.4909611081
17,Equatorial Guinea,-0.462276453
18,Togo,-0.4054560841
19,Northern Mariana Islands,-0.3968909462
20,Dominica,-0.3951387302
21,Guinea-Bissau,-0.3848199692
22,Nepal,-0.3742660401
23,Ecuador,-0.3726872624
24,Malawi,-0.3611978492
25,Liberia,-0.3455219267
26,Bolivia,-0.3334520069
27,Mozambique,-0.3078982277
28,Brunei,-0.2945025607
29,Comoros,-0.2919993277
30,Brazil,-0.2913152653
31,Venezuela,-0.270509071
32,Panama,-0.2530347799
33,Colombia,-0.2504464134
34,Zambia,-0.2491008305
35,Senegal,-0.2486575078
36,Burkina Faso,-0.2432778263
37,El Salvador,-0.2400965075
38,Botswana,-0.2271821983
39,Solomon Islands,-0.2205089119
40,American Samoa,-0.1874364029
41,Guinea,-0.1625863187
42,Sub-Saharan Africa,-0.1601848798
43,Sri Lanka,-0.1543881225
44,Democratic Republic of Congo,-0.1527010332
45,Somalia,-0.1359303607
46,Peru,-0.1358352693
47,Argentina,-0.1249252646
48,Portugal,-0.1243342817
49,Sao Tome and Principe,-0.1217272506
50,Ethiopia,-0.1127757981
51,Angola,-0.1110232217
52,Saint Lucia,-0.1092524357
53,Sudan,-0.1038601805
54,Namibia,-0.0995099811
55,Madagascar,-0.0953189401
56,Mexico,-0.0865648889
57,South Korea,-0.0843660461
58,Mali,-0.0718945667
59,Mauritius,-0.0669619394
60,Chad,-0.0666023634
61,Pakistan,-0.0607760641
62,Kyrgyzstan,-0.053651199
63,Antigua and Barbuda,-0.0532213096
64,Congo,-0.050973752
65,Eritrea,-0.0488018204
66,World,-0.0443901345
67,Trinidad and Tobago,-0.0420260413
68,Jamaica,-0.0385562635
69,Haiti,-0.0307334068
70,Guyana,-0.0293115969
71,Niger,-0.0283625599
72,Central African Republic,-0.0275845531
73,Suriname,-0.027152457
74,Australia,-0.0266858885
75,British Virgin Islands,-0.0262107117
76,Albania,-0.0246251685
77,Bangladesh,-0.0222078443
78,Bosnia and Herzegovina,-0.0213991678
79,Malaysia,-0.0209663072
80,Kenya,-0.0182734028
81,Mauritania,-0.0083210904
82,Papua New Guinea,-0.0066625576
83,Canada,-0.0058806141
84,Armenia,-0.0055051289
85,Norway,-0.002229045
86,Kazakhstan,-0.0018784411
87,Sweden,-0.0001118626
