,country,trend
0,Libya,0
1,Middle East & North Africa (excluding high income),0
2,Middle income,0
3,Malta,0
4,Middle East & North Africa (IDA & IBRD),0
5,Yemen,0
6,Lower middle income,0
7,Low income,0
8,Maldives,0
9,Marshall Islands,0
10,Low & middle income,0
11,Middle East & North Africa,0
12,Upper middle income,0
13,New Caledonia,0
14,Tonga,0
15,Turkmenistan,0
16,Syrian Arab Republic,0
17,Sub-Saharan Africa (excluding high income),0
18,Sub-Saharan Africa (IDA & IBRD),0
19,South Asia (IDA & IBRD),0
20,South Asia,0
21,South Africa,0
22,Small states,0
23,Turks and Caicos Islands,0
24,Singapore,0
25,Seychelles,0
26,Saudi Arabia,0
27,Tuvalu,0
28,Saint Martin (French part),0
29,Saint Kitts and Nevis,0
30,Qatar,0
31,Pre-demographic dividend,0
32,Post-demographic dividend,0
33,Pacific island small states,0
34,Other small states,0
35,Oman,0
36,OECD members,0
37,Vanuatu,0
38,North America,0
39,Nauru,0
40,San Marino,0
41,Afghanistan,0
42,Greenland,0
43,IDA & IBRD total,0
44,IBRD only,0
45,High income,0
46,Heavily indebted poor countries (HIPC),0
47,Guam,0
48,Grenada,0
49,Bahamas,0
50,Gibraltar,0
51,Barbados,0
52,Bermuda,0
53,Fragile and conflict affected situations,0
54,Caribbean small states,0
55,Cayman Islands,0
56,Faeroe Islands,0
57,European Union,0
58,Europe & Central Asia (excluding high income),0
59,Central Europe and the Baltics,0
60,Europe & Central Asia (IDA & IBRD),0
61,Channel Islands,0
62,Europe & Central Asia,0
63,Euro area,0
64,East Asia & Pacific (excluding high income),0
65,East Asia & Pacific (IDA & IBRD),0
66,East Asia & Pacific,0
67,Early-demographic dividend,0
68,IDA blend,0
69,IDA only,0
70,Djibouti,0
71,Late-demographic dividend,0
72,Isle of Man,0
73,Least developed countries: UN classification,0
74,IDA total,0
75,Latin America & Caribbean (excluding high income),0
76,Jordan,0
77,Andorra,0
78,Kiribati,0
79,Latin America & Caribbean (IDA & IBRD),0
80,Latin America & Caribbean,0
81,Aruba,0
82,Arab World,0
