Entity,Code,Year,Number of reported natural disasters (reported disasters)
All natural disasters,,1900,5
All natural disasters,,1901,2
All natural disasters,,1902,9
All natural disasters,,1903,8
All natural disasters,,1904,2
All natural disasters,,1905,4
All natural disasters,,1906,17
All natural disasters,,1907,5
All natural disasters,,1908,4
All natural disasters,,1909,11
All natural disasters,,1910,15
All natural disasters,,1911,5
All natural disasters,,1912,7
All natural disasters,,1913,5
All natural disasters,,1914,6
All natural disasters,,1915,7
All natural disasters,,1916,2
All natural disasters,,1917,6
All natural disasters,,1918,7
All natural disasters,,1919,4
All natural disasters,,1920,7
All natural disasters,,1921,2
All natural disasters,,1922,6
All natural disasters,,1923,12
All natural disasters,,1924,4
All natural disasters,,1925,6
All natural disasters,,1926,15
All natural disasters,,1927,12
All natural disasters,,1928,17
All natural disasters,,1929,6
All natural disasters,,1930,14
All natural disasters,,1931,12
All natural disasters,,1932,8
All natural disasters,,1933,10
All natural disasters,,1934,9
All natural disasters,,1935,11
All natural disasters,,1936,11
All natural disasters,,1937,7
All natural disasters,,1938,7
All natural disasters,,1939,11
All natural disasters,,1940,17
All natural disasters,,1941,5
All natural disasters,,1942,9
All natural disasters,,1943,12
All natural disasters,,1944,12
All natural disasters,,1945,12
All natural disasters,,1946,15
All natural disasters,,1947,12
All natural disasters,,1948,23
All natural disasters,,1949,20
All natural disasters,,1950,23
All natural disasters,,1951,27
All natural disasters,,1952,24
All natural disasters,,1953,34
All natural disasters,,1954,33
All natural disasters,,1955,30
All natural disasters,,1956,36
All natural disasters,,1957,29
All natural disasters,,1958,23
All natural disasters,,1959,33
All natural disasters,,1960,40
All natural disasters,,1961,28
All natural disasters,,1962,28
All natural disasters,,1963,41
All natural disasters,,1964,60
All natural disasters,,1965,61
All natural disasters,,1966,80
All natural disasters,,1967,70
All natural disasters,,1968,77
All natural disasters,,1969,62
All natural disasters,,1970,77
All natural disasters,,1971,61
All natural disasters,,1972,63
All natural disasters,,1973,60
All natural disasters,,1974,68
All natural disasters,,1975,63
All natural disasters,,1976,91
All natural disasters,,1977,121
All natural disasters,,1978,115
All natural disasters,,1979,120
All natural disasters,,1980,133
All natural disasters,,1981,138
All natural disasters,,1982,153
All natural disasters,,1983,205
All natural disasters,,1984,146
All natural disasters,,1985,165
All natural disasters,,1986,150
All natural disasters,,1987,191
All natural disasters,,1988,200
All natural disasters,,1989,172
All natural disasters,,1990,278
All natural disasters,,1991,228
All natural disasters,,1992,204
All natural disasters,,1993,260
All natural disasters,,1994,246
All natural disasters,,1995,248
All natural disasters,,1996,227
All natural disasters,,1997,261
All natural disasters,,1998,288
All natural disasters,,1999,337
All natural disasters,,2000,411
All natural disasters,,2001,376
All natural disasters,,2002,421
All natural disasters,,2003,360
All natural disasters,,2004,350
All natural disasters,,2005,432
All natural disasters,,2006,401
All natural disasters,,2007,414
All natural disasters,,2008,352
All natural disasters,,2009,344
All natural disasters,,2010,393
All natural disasters,,2011,334
All natural disasters,,2012,346
All natural disasters,,2013,332
All natural disasters,,2014,320
All natural disasters,,2015,380
All natural disasters,,2016,325
All natural disasters,,2017,276
All natural disasters,,2018,282
Drought,,1900,2
Drought,,1903,1
Drought,,1906,1
Drought,,1910,9
Drought,,1919,1
Drought,,1920,2
Drought,,1921,1
Drought,,1928,1
Drought,,1931,1
Drought,,1933,1
Drought,,1940,9
Drought,,1942,1
Drought,,1943,1
Drought,,1946,1
Drought,,1947,1
Drought,,1960,1
Drought,,1961,1
Drought,,1963,1
Drought,,1964,7
Drought,,1965,7
Drought,,1966,9
Drought,,1967,5
Drought,,1968,7
Drought,,1969,10
Drought,,1970,2
Drought,,1971,7
Drought,,1972,7
Drought,,1973,2
Drought,,1974,4
Drought,,1975,1
Drought,,1976,6
Drought,,1977,16
Drought,,1978,9
Drought,,1979,11
Drought,,1980,14
Drought,,1981,13
Drought,,1982,13
Drought,,1983,32
Drought,,1984,8
Drought,,1985,3
Drought,,1986,4
Drought,,1987,15
Drought,,1988,17
Drought,,1989,7
Drought,,1990,12
Drought,,1991,18
Drought,,1992,12
Drought,,1993,9
Drought,,1994,13
Drought,,1995,6
Drought,,1996,6
Drought,,1997,18
Drought,,1998,20
Drought,,1999,23
Drought,,2000,27
Drought,,2001,22
Drought,,2002,25
Drought,,2003,14
Drought,,2004,11
Drought,,2005,20
Drought,,2006,9
Drought,,2007,11
Drought,,2008,16
Drought,,2009,18
Drought,,2010,17
Drought,,2011,17
Drought,,2012,21
Drought,,2013,9
Drought,,2014,18
Drought,,2015,28
Drought,,2016,15
Drought,,2017,7
Drought,,2018,13
Earthquake,,1901,2
Earthquake,,1902,3
Earthquake,,1903,1
Earthquake,,1904,1
Earthquake,,1905,2
Earthquake,,1906,10
Earthquake,,1907,5
Earthquake,,1908,3
Earthquake,,1909,3
Earthquake,,1910,3
Earthquake,,1912,2
Earthquake,,1913,4
Earthquake,,1914,4
Earthquake,,1915,3
Earthquake,,1916,1
Earthquake,,1917,3
Earthquake,,1918,5
Earthquake,,1920,3
Earthquake,,1921,1
Earthquake,,1922,2
Earthquake,,1923,5
Earthquake,,1924,2
Earthquake,,1925,2
Earthquake,,1926,1
Earthquake,,1927,6
Earthquake,,1928,7
Earthquake,,1929,2
Earthquake,,1930,7
Earthquake,,1931,4
Earthquake,,1932,2
Earthquake,,1933,4
Earthquake,,1934,4
Earthquake,,1935,3
Earthquake,,1936,2
Earthquake,,1938,2
Earthquake,,1939,6
Earthquake,,1940,4
Earthquake,,1941,2
Earthquake,,1942,5
Earthquake,,1943,5
Earthquake,,1944,4
Earthquake,,1945,4
Earthquake,,1946,8
Earthquake,,1947,2
Earthquake,,1948,5
Earthquake,,1949,6
Earthquake,,1950,4
Earthquake,,1951,3
Earthquake,,1952,8
Earthquake,,1953,7
Earthquake,,1954,5
Earthquake,,1955,4
Earthquake,,1956,6
Earthquake,,1957,8
Earthquake,,1958,4
Earthquake,,1959,3
Earthquake,,1960,9
Earthquake,,1961,2
Earthquake,,1962,3
Earthquake,,1963,3
Earthquake,,1964,7
Earthquake,,1965,7
Earthquake,,1966,11
Earthquake,,1967,10
Earthquake,,1968,14
Earthquake,,1969,8
Earthquake,,1970,11
Earthquake,,1971,5
Earthquake,,1972,5
Earthquake,,1973,4
Earthquake,,1974,4
Earthquake,,1975,4
Earthquake,,1976,20
Earthquake,,1977,14
Earthquake,,1978,9
Earthquake,,1979,25
Earthquake,,1980,24
Earthquake,,1981,17
Earthquake,,1982,18
Earthquake,,1983,25
Earthquake,,1984,13
Earthquake,,1985,22
Earthquake,,1986,21
Earthquake,,1987,19
Earthquake,,1988,18
Earthquake,,1989,19
Earthquake,,1990,43
Earthquake,,1991,29
Earthquake,,1992,25
Earthquake,,1993,20
Earthquake,,1994,25
Earthquake,,1995,26
Earthquake,,1996,13
Earthquake,,1997,23
Earthquake,,1998,30
Earthquake,,1999,33
Earthquake,,2000,30
Earthquake,,2001,25
Earthquake,,2002,37
Earthquake,,2003,40
Earthquake,,2004,42
Earthquake,,2005,25
Earthquake,,2006,24
Earthquake,,2007,21
Earthquake,,2008,23
Earthquake,,2009,22
Earthquake,,2010,24
Earthquake,,2011,30
Earthquake,,2012,27
Earthquake,,2013,29
Earthquake,,2014,26
Earthquake,,2015,23
Earthquake,,2016,30
Earthquake,,2017,19
Earthquake,,2018,20
Extreme temperature,,1936,2
Extreme temperature,,1951,2
Extreme temperature,,1953,3
