country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,2160000,2210000,2290000,2400000,2510000,2610000,2720000,2810000,2880000,2970000,3040000,3070000,3110000,3150000,3190000,3230000,3260000,3290000,3320000,3360000,3400000,3400000
Albania,2080000,2560000,2560000,595000,409000,409000,409000,409000,27700,230000,447000,265000,305000,296000,296000,296000,296000,430000,430000,430000,430000,430000
Algeria,124000,172000,139000,239000,166000,194000,190000,203000,222000,202000,186000,130000,121000,164000,184000,141000,141000,152000,121000,139000,135000,119000
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,3190000,3280000,3380000,3670000,3750000,3780000,3840000,3930000,4050000,4170000,4260000,4340000,4420000,4500000,4580000,4670000,4750000,4840000,4920000,5010000,5110000,5200000
Argentina,10200000,10400000,11700000,10300000,10800000,11600000,11500000,11500000,12300000,9860000,10700000,9540000,11500000,13000000,15000000,14300000,14000000,13700000,13100000,14100000,15000000,15200000
Armenia,,,,,,,,62200,,,72200,62200,68900,75600,75000,54100,60300,45200,38600,51400,38500,35200
Australia,20800000,20400000,20700000,21900000,23300000,24300000,24400000,27000000,28100000,27700000,31200000,31100000,29700000,31600000,31900000,31900000,31800000,32300000,33300000,30300000,30400000,31300000
Austria,15700000,11500000,12200000,12300000,14400000,13800000,15000000,14700000,14000000,14100000,13300000,13500000,14800000,17100000,16500000,16500000,19100000,21300000,21800000,16700000,17800000,18700000
Azerbaijan,,,,,,,,,12600,12600,13500,13500,52800,6500,6500,6500,6500,6500,6500,6500,6500,6500
Bahamas,144000,144000,145000,146000,147000,147000,147000,147000,47600,47900,48100,48300,48600,48800,49000,49300,49400,49600,49700,49900,49900,50200
Bahrain,4290,4410,4500,4600,3280,3420,4980,5100,5270,5430,5590,5700,5810,5930,6050,6160,6250,6330,6420,6510,6600,6680
Bangladesh,28400000,28600000,28600000,28600000,28600000,28500000,28500000,28500000,28500000,28500000,28500000,28400000,28000000,28000000,28000000,27900000,27900000,27800000,27700000,27600000,27600000,27600000
Barbados,5660,5690,6760,10700,10700,10700,10200,9910,9840,9580,10400,10400,10300,10300,10300,11200,11200,11100,11100,11000,11000,11000
Belarus,,,11400000,10000000,10000000,10000000,15700000,17600000,5900000,6560000,6140000,6490000,6950000,7540000,8620000,8700000,8760000,8760000,8760000,8810000,10400000,10400000
Belgium,6350000,2450000,2890000,3460000,3810000,3500000,3400000,3450000,3080000,3130000,2530000,3330000,4670000,4620000,4220000,3950000,3780000,3850000,3730000,3590000,4000000,3680000
Belize,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,188000,155000,167000,167000,167000,167000,167000
Benin,5850000,5930000,5970000,6040000,6090000,6130000,6160000,6210000,6210000,6230000,6240000,6290000,6350000,6380000,6410000,6450000,6610000,6570000,6610000,6660000,6700000,6700000
Bhutan,3900000,3930000,3950000,3940000,3940000,3930000,3960000,4020000,4110000,4280000,4350000,4420000,4480000,4550000,4610000,4680000,4740000,4960000,4980000,4970000,5040000,5030000
Bolivia,2290000,2400000,2560000,2730000,2880000,2870000,2940000,2960000,2910000,2620000,2610000,2720000,2730000,2860000,2960000,3060000,3180000,3200000,3220000,3240000,3260000,3280000
Bosnia and Herzegovina,,,40000,40000,40000,40000,40000,4000000,4130000,4130000,4280000,3820000,4220000,4100000,3990000,3810000,4110000,3750000,4010000,3430000,3620000,3850000
Botswana,687000,689000,692000,705000,712000,721000,726000,732000,731000,736000,740000,745000,750000,755000,760000,766000,770000,774000,779000,784000,788000,791000
Brazil,266000000,218000000,224000000,232000000,242000000,235000000,229000000,184000000,185000000,176000000,183000000,170000000,190000000,201000000,189000000,266000000,218000000,224000000,232000000,242000000,235000000,229000000
Bulgaria,4090000,3650000,3550000,3550000,2690000,2840000,3210000,3040000,3230000,4350000,4780000,3990000,4830000,5390000,5990000,5860000,5990000,5700000,6070000,4600000,5670000,6210000
Burkina Faso,9640000,9770000,10000000,10300000,10600000,10800000,11000000,11100000,11300000,7820000,8060000,8310000,8570000,8830000,9110000,9400000,9700000,10000000,10400000,10700000,11100000,11400000
Burundi,6460000,6530000,6610000,6800000,7090000,7370000,7710000,7890000,8080000,5940000,6190000,8720000,8860000,9090000,9240000,9420000,9560000,9710000,9850000,9990000,10700000,10900000
Cambodia,11800000,11900000,11800000,11800000,12100000,12000000,11900000,11800000,11600000,11200000,10300000,10000000,9860000,9680000,9510000,9330000,9170000,9010000,8850000,8700000,8530000,8610000
Cameroon,10800000,11000000,11000000,11300000,11900000,12300000,12600000,12200000,11100000,10900000,11000000,10500000,10600000,11000000,11200000,11300000,12200000,12300000,12300000,12000000,12100000,12100000
Canada,163000000,161000000,170000000,176000000,183000000,188000000,183000000,189000000,177000000,198000000,202000000,186000000,196000000,181000000,208000000,203000000,184000000,165000000,139000000,117000000,142000000,150000000
Cape Verde,99800,103000,108000,113000,118000,122000,127000,132000,137000,142000,147000,152000,157000,162000,167000,172000,176000,180000,185000,189000,193000,197000
